SeatsID,Gate,Section,Price,Seat
0,A,1,60,A0
1,A,2,110,A1
2,A,3,160,A2
3,A,4,210,A3
4,A,1,60,A4
5,A,2,110,A5
6,A,3,160,A6
7,A,4,210,A7
8,A,1,60,A8
9,A,2,110,A9
10,A,3,160,A10
11,A,4,210,A11
12,A,1,60,A12
13,A,2,110,A13
14,A,3,160,A14
15,A,4,210,A15
16,A,1,60,A16
17,A,2,110,A17
18,A,3,160,A18
19,A,4,210,A19
20,B,1,60,B20
21,B,2,110,B21
22,B,3,160,B22
23,B,4,210,B23
24,B,1,60,B24
25,B,2,110,B25
26,B,3,160,B26
27,B,4,210,B27
28,B,1,60,B28
29,B,2,110,B29
30,B,3,160,B30
31,B,4,210,B31
32,B,1,60,B32
33,B,2,110,B33
34,B,3,160,B34
35,B,4,210,B35
36,B,1,60,B36
37,B,2,110,B37
38,B,3,160,B38
39,B,4,210,B39
40,C,1,60,C40
41,C,2,110,C41
42,C,3,160,C42
43,C,4,210,C43
44,C,1,60,C44
45,C,2,110,C45
46,C,3,160,C46
47,C,4,210,C47
48,C,1,60,C48
49,C,2,110,C49
50,C,3,160,C50
51,C,4,210,C51
52,C,1,60,C52
53,C,2,110,C53
54,C,3,160,C54
55,C,4,210,C55
56,C,1,60,C56
57,C,2,110,C57
58,C,3,160,C58
59,C,4,210,C59
60,D,1,60,D60
61,D,2,110,D61
62,D,3,160,D62
63,D,4,210,D63
64,D,1,60,D64
65,D,2,110,D65
66,D,3,160,D66
67,D,4,210,D67
68,D,1,60,D68
69,D,2,110,D69
70,D,3,160,D70
71,D,4,210,D71
72,D,1,60,D72
73,D,2,110,D73
74,D,3,160,D74
75,D,4,210,D75
76,D,1,60,D76
77,D,2,110,D77
78,D,3,160,D78
79,D,4,210,D79
80,E,1,60,E80
81,E,2,110,E81
82,E,3,160,E82
83,E,4,210,E83
84,E,1,60,E84
85,E,2,110,E85
86,E,3,160,E86
87,E,4,210,E87
88,E,1,60,E88
89,E,2,110,E89
90,E,3,160,E90
91,E,4,210,E91
92,E,1,60,E92
93,E,2,110,E93
94,E,3,160,E94
95,E,4,210,E95
96,E,1,60,E96
97,E,2,110,E97
98,E,3,160,E98
99,E,4,210,E99
100,F,1,60,F100
101,F,2,110,F101
102,F,3,160,F102
103,F,4,210,F103
104,F,1,60,F104
105,F,2,110,F105
106,F,3,160,F106
107,F,4,210,F107
108,F,1,60,F108
109,F,2,110,F109
110,F,3,160,F110
111,F,4,210,F111
112,F,1,60,F112
113,F,2,110,F113
114,F,3,160,F114
115,F,4,210,F115
116,F,1,60,F116
117,F,2,110,F117
118,F,3,160,F118
119,F,4,210,F119
120,F,1,60,F120
121,G,2,110,G121
122,G,3,160,G122
123,G,4,210,G123
124,G,1,60,G124
125,G,2,110,G125
126,G,3,160,G126
127,G,4,210,G127
128,G,1,60,G128
129,G,2,110,G129
130,G,3,160,G130
131,G,4,210,G131
132,G,1,60,G132
133,G,2,110,G133
134,G,3,160,G134
135,G,4,210,G135
136,G,1,60,G136
137,G,2,110,G137
138,G,3,160,G138
139,G,4,210,G139
140,G,1,60,G140
141,G,2,110,G141
142,G,3,160,G142
143,G,4,210,G143
144,G,1,60,G144
145,G,2,110,G145
146,G,3,160,G146
147,G,4,210,G147
148,G,1,60,G148
149,G,2,110,G149
150,H,3,160,H150
151,H,4,210,H151
152,H,1,60,H152
153,H,2,110,H153
154,H,3,160,H154
155,H,4,210,H155
156,H,1,60,H156
157,H,2,110,H157
158,H,3,160,H158
159,H,4,210,H159
160,H,1,60,H160
161,H,2,110,H161
162,H,3,160,H162
163,H,4,210,H163
164,H,1,60,H164
165,H,2,110,H165
166,H,3,160,H166
167,H,4,210,H167
168,H,1,60,H168
169,H,2,110,H169
170,H,3,160,H170
171,H,4,210,H171
172,H,1,60,H172
173,H,2,110,H173
174,H,3,160,H174
175,H,4,210,H175
176,H,1,60,H176
177,H,2,110,H177
178,H,3,160,H178
179,H,4,210,H179
