UUID,Display Name,Match Result Key,disp,targetMainNaics,Categories,Al Lna Ics,Industries,Ma Inna Ics,Naic Sse Ctor,Main City,Pi I,Displayname2,Pi I2,Display Nam E3,Pi I3,Main Address,It Spend Industry I Dc,Emails
4fd216e8-4666-4b29-a266-ac314cda43a5,Farm Fresh Pharmacy,;FARM FRESH PHARMACY;;211 15 PROVIDENCE;CHESAPEAKE;VA;CHESAPEAKE;VA;;;,precedence,11,2,111999;446110,2,111999,Agriculture,Chesapeake,FALSE,Farm Fresh - 6287,FALSE,Farm Fresh - 6282,FALSE,,Process: Consumer products,
c41bffd1-21b1-42d1-8c59-b0e4c9cd25cd,Visuallink,";FRED L. GLAIZE, L.C.;;;WINCHESTER;VA;;;",precedence,11,2,115114;111331,2,111331,Agriculture,Winchester,FALSE,"Fred L. Glaize, L.C.",TRUE,,,,Resource Industries,
007ace49-aff2-4d2c-ab92-9babdac092b3,Bureau OF Land Management - Bishop Field Office,;BUREAU OF LAND MANAGEMENT - BISHOP FIELD OFFICE;;;LEE VINING;CA;;;,precedence,62,2,115310;621910,2,115310,Agriculture,Lee Vining,FALSE,,,,,,Professional Services,
0142da96-a28d-4987-885f-2fed668c25d4,Jimmy Ray,;JIMMY RAY;;;HOUSE;NM;;;,,11,2,1121;11112,2,11112,Agriculture,House,TRUE,,,,,,Resource Industries,
01ccc0c0-c1e0-45ed-881b-3cc7cb833dc2,Lamb Chops INC,;LAMB CHOPS;;;BAKERSFIELD;CA;;;,precedence,541,3,115116;115113;541690,2,115113,Agriculture,Bakersfield,FALSE,"Lamb Chops, INC.",FALSE,Lamb Chops,FALSE,,Professional Services,
027f875f-4043-4b69-982f-150807f9d6a2,Soffel Honey Farms,;RONALD W SOFFEL;;;YUCAIPA;CA;;;,precedence,11,2,111999;48412,2,111999,Agriculture,Yucaipa,partial,Soffel Farms INC,FALSE,Ronald W Soffel,TRUE,,Process: Consumer products,
0379e9c1-52e1-4a67-9cb6-9fbec2c30b96,United States Forest Service - Oak Knoll Ranger Station,;UNITED STATES FOREST SERVICE - OAK KNOLL RANGER STATION;;;KLAMATH RIVER;CA;;;,tofix,62,2,115310;621910,2,115310,Agriculture,Klamath River,FALSE,,,,,,Professional Services,
03b5e908-aad6-4eb2-bc59-08c3d8f9773c,Ahlem Farms Jerseys,;AHLEM FARMS JERSEYS;;;Hilmar;CA;;;,precedence,11,3,11112;112120;111999,2,111999,Agriculture,Hilmar,FALSE,,,,,,Process: Consumer products,
03c55bdc-f2a6-47a7-8da4-b37e93eb349d,"Droogh Dairy, LP",;DROOGH DAIRY;;;Lemoore;CA;;;,precedence,11,2,112120;11112,2,112120,Agriculture,Lemoore,FALSE,Droogh Dairy,FALSE,,,,Resource Industries,
059a6469-741d-4356-9f85-11acbe9c858f,Wayne Moniz,;WAYNE MONIZ;;;TIVERTON;RI;;;,precedence,11,2,111999;48412,2,111999,Agriculture,Tiverton,TRUE,M & W Livestock Farm,FALSE,,,,Process: Consumer products,
06baffd5-2033-4081-8d83-8d2eb1bae00f,Holdener Farms INC,;HOLDENER FARMS INC;;;Dixon;CA;;;,precedence,11,3,11112;11299;111999,2,111999,Agriculture,Dixon,FALSE,,,,,,Process: Consumer products,
0723ed40-078e-4739-af10-096b390a2295,Larry Reimers,;LARRY REIMERS;;;ORLAND;CA;;;,,11,3,11241;11112;112111,2,112111,Agriculture,Orland,TRUE,Larry Edward Reimers,TRUE,,,,Resource Industries,
083718ab-e0a2-4e29-9c22-419093911016,Sky Flowers INC,;SKY FLOWERS INC;;;BURBANK;CA;;;,precedence,11,2,111422;48412,2,111422,Agriculture,Burbank,FALSE,Sky Flowers inc,FALSE,Sky Events And Production,FALSE,,Resource Industries,
08487a0a-712b-4f0d-9dba-7d2220735eae,Joe O Rocha Dairy INC,;JOE O ROCHA DAIRY;;;TURLOCK;CA;;;,precedence,11,3,11112;112120,2,112120,Agriculture,Turlock,FALSE,,,,,,Resource Industries,
08ad1164-bbc8-4b36-9e6f-f8f8ec3a48d6,Buddy Wayne Baldridge,;BUDDY WAYNE BALDRIDGE;;;CLOVIS;NM;;;,,11,2,1121;11112,2,11112,Agriculture,Clovis,TRUE,,,,,,Resource Industries,
0a9c749e-08d9-4351-8b57-a62b2655078b,Rick Gorzeman,;RICK GORZEMAN;;;Tipton;CA;;;,precedence,11,2,11112;11212,2,11212,Agriculture,Tipton,FALSE,,,,,,Resource Industries,
0ab381a4-c97a-41d7-b037-914488dfbb29,Brooks Farms INC,;BROOKS FARMS INC;;;CLOVIS;NM;;;,precedence,11,3,11112;48412;111999,2,111999,Agriculture,Clovis,FALSE,,,,,,Process: Consumer products,
0afc3cb9-ffa3-4de8-8abe-01064fc2e8c0,"Voice Ministries of Farmington, Inc.",";VOICE MINISTRIES OF FARMINGTON, INC.;;;FARMINGTON;NM;;;",precedence,51,2,515111;111999,2,111999,Agriculture,Farmington,FALSE,,,,,,Process: Consumer products,
0bb50de6-c654-4f7a-afd3-704d7b3a4554,Callisto Newfoundlands,;CALLISTO NEWFOUNDLANDS;;;CORRALES;NM;;;,precedence,812,2,812910;112990,2,112990,Agriculture,Corrales,FALSE,,,,,,Resource Industries,
0c1942c8-02af-403d-b176-09555096c476,Martin Sweetser,;MARTIN SWEETSER;;;DEMING;NM;;;,precedence,11,2,311340;11112,2,11112,Agriculture,Deming,TRUE,John Sweetser,TRUE,,,,Resource Industries,
0cee03ee-52c8-441b-8279-e06a848c2420,Mt Lassen Trout,;MT LASSEN TROUT FARMS;;;PAYNES CREEK;CA;;;,precedence,11,3,112511;11112;111999,2,111999,Agriculture,Paynes Creek,FALSE,MT Lassen Trout Farms INC,FALSE,,,,Process: Consumer products,
0cffb2cd-fc30-4a23-bfd8-441a9274d9f3,Robert Scagliotti,;ROBERT SCAGLIOTTI;;;HOLLISTER;CA;;;,precedence,11,3,56299;111999;11112,2,111999,Agriculture,Hollister,TRUE,Tim And Robert Scagliotti,partial,Scagliotti Farms,FALSE,,Process: Consumer products,
0d55ad93-f116-45d8-9d8c-96b10af8a066,Ralph Alcala JR,;JOSH RAMIA;;;HANFORD;CA;;;,precedence,11,4,56299;111999;111998;11112,2,111998,Agriculture,Hanford,TRUE,Alcala Farms,FALSE,Josh Ramia,TRUE,,Process: Consumer products,
0d96c6a7-f0b3-40e7-98dc-618f96e156fe,Sleep N Aire OF Farmington INC,;SLEEP N AIRE OF FARMINGTON;;;FARMINGTON;NM;;;,precedence,11,2,48412;111999,2,111999,Agriculture,Farmington,FALSE,Sleep N Aire Mattress Gallery,partial,,,,Process: Consumer products,
0daead2e-8085-43a2-88de-9e6cf8e56af8,Mario Buoni & Sons,;MARIO BUONI AND SONS;;;BAKERSFIELD;CA;;;,precedence,11,2,11112;56299,2,11112,Agriculture,Bakersfield,partial,Mario Buoni And Sons,partial,Mario Buoni,TRUE,,Resource Industries,
0e8071b1-dd07-471b-9ecf-24b45948e725,Jerry & Suzy Powell,;JERRY & SUZY POWELL;;;GRADY;NM;;;,precedence,11,2,11199;48412,2,11199,Agriculture,Grady,partial,,,,,,Process: Consumer products,
000038da-acfe-49be-9370-d0af908d213c,"Den Besten, William",;DEN BESTEN FARMS INC;;3903 CONCESSION 4 RD;FENWICK;ON;L0S 1C0;CA;;,precedence,11,5,111999;111150;112991;112999;112210,2,112991,Agriculture,Fenwick,FALSE,Den Besten Farms INC,FALSE,Brad Den Besten,FALSE,,Resource Industries,
0004031b-1bdb-47b8-bf61-17c9a54bd312,"Memphis Farmers Gin Co., INC.",";MEMPHIS FARMERS GIN CO., INC.;;;MEMPHIS;TX;;;",precedence,11,2,111999;115111,2,111999,Agriculture,Memphis,FALSE,Memphis Farmers Gin CO. INC.,FALSE,,,,Process: Consumer products,
000e3a3b-ad22-422c-825b-cf3afce894ef,Harley J Christianson,;HARLEY J CHRISTIANSON;;;Bloomer;WI;;;,keyword,11,2,813110;111120,2,111120,Agriculture,Bloomer,TRUE,,,,,,Resource Industries,
0010cea2-5d53-4b78-af97-b321c820e03a,,;398311 ONTARIO LTD;;RR 1;MOORETOWN;ON;N0N 1M0;CA;;,precedence,561,2,561730;115116,2,115116,Agriculture,Mooretown,,,,,,,Professional Services,
001459e3-53cb-4e4f-9f1f-ca45359ecc0d,Miller Farm EQ Dauphin,;MILLER FARM EQ DAUPHIN;;PO BOX 605 LCD MAIN;DAUPHIN;MB;R7N 2V4;CA;;,,11,2,111999;423820,2,111999,Agriculture,Dauphin,partial,,,,,,Process: Consumer products,
00155fad-107e-4b14-b9ae-cecb0af93644,Ykk Beehive Lc,;YKK BEEHIVE LC;;;PROVO;UT;;;,precedence,53,2,112910;531110,2,112910,Agriculture,Provo,FALSE,,,,,,Resource Industries,
001fca9f-2378-4fdd-aed9-5a2689c9b53a,Bow Wow Facial,;BOW WOW FACIAL;;631 PASADENA AVE;WINNIPEG;MB;R3T 2T2;CA;;,keyword,812,3,115210;812910;115112,2,115112,Agriculture,Winnipeg,FALSE,,,,,,Professional Services,
002076b5-958c-49e4-9138-893d7735e6b6,Ferme Datony Enr.,;FERME DATONY ENR;;633 RANG 6 O;ST LAZ VAUDRE;QC;G0R 3J0;CA;;,precedence,11,4,113311;112120,2,113311,Agriculture,Saint-Lazare-De-Bellechasse,FALSE,Ferme Datony Enr,FALSE,,,,Resource Industries,
002af4fe-8da5-4160-a1c2-a44f619dbe9b,Jeffrey S Johnson,;JEFFREY S JOHNSON;;;Delavan;WI;;;,,11,2,111120;112410,2,111120,Agriculture,Delavan,TRUE,,,,,,Resource Industries,
002e22d5-3fe9-418c-832c-2ebbb8380086,Calgary GO Lawn & Snow INC,;GO LAWN AND SNOW;;234 5149 COUNTY SUITE 844;CALGARY;AB;T3A 5K8;CA;;,keyword,23,2,115116;238,2,115116,Agriculture,Calgary,FALSE,Calgary Go Lawn & Snow Inc,FALSE,GO Lawn & Snow,FALSE,,Professional Services,
00317d4a-fc7b-450b-9574-43e11ac85008,Rey Landscaping & Snow Removal,;REY LANDSCAPING & SNOW REMOVAL;;PO BOX 327;ST CLAUDE;MB;R0G 1Z0;CA;;,precedence,11,2,562990;115116,2,115116,Agriculture,St Claude,FALSE,,,,,,Professional Services,
0042ba3d-6bfe-447b-b24c-f0548dcb4398,Double B Farms Llc,;Double B Farms Llc;;;Rivesville;WV;;;,precedence,11,2,112990;111999,2,112990,Agriculture,Rivesville,FALSE,,,,,,Resource Industries,
0fa35b53-7484-4467-bd53-f3213adeda72,"Rascon, Joe",";RASCON, JOE,RASCON;;;KERMAN;CA;;;",,11,2,11112;115116,2,115116,Agriculture,Kerman,TRUE,Joe M Rascon,TRUE,,,,Professional Services,
10e891ff-3f07-4415-bec4-147448aba06c,Ron Verhoeven Family Dairy,;RON VERHOEVEN FAMILY DAIRY;;;Corcoran;CA;;;,precedence,11,2,112120;11112,2,112120,Agriculture,Corcoran,partial,,,,,,Resource Industries,
1156f34e-ad76-4e9a-a0f8-21b629d7cd3b,Northland Farm & Garden LLC,;NORTHLAND FARM & GARDEN LLC;;;CUMBERLAND;RI;;;,precedence,11,2,111999;444220,2,111999,Agriculture,Cumberland,FALSE,,,,,,Process: Consumer products,
119ca91b-47a1-4890-830d-87814934084b,Frank N. Rocha Dairy L.P.,";FRANK N. ROCHA DAIRY,;;;ESCALON;CA;;;",,11,2,11112;112120,2,112120,Agriculture,Escalon,TRUE,"Frank N. Rocha Dairy, L.P.",TRUE,Frank N Rocha Dairy L P,TRUE,,Resource Industries,
12483678-25b9-49af-89d5-59ad817ec2b0,Purdie Family Revocable Trust,;PURDIE FAMILY REVOCABLE TRUST;;;SANTA BARBARA;CA;;;,precedence,49,2,11112;4931,2,11112,Agriculture,Santa Barbara,FALSE,Ferguson Family Revocable Trust,FALSE,Albert E Ferguson,TRUE,,Resource Industries,
12874cea-5a35-40d3-862c-aff374e2cff6,Backyard Farms,";BACKYARD FARMS, LLC;;;MADISON;ME;;;",,11,2,424480;111999,2,111999,Agriculture,Slope Food Coop,FALSE,"Backyard Farms, LLC",FALSE,,,,Process: Consumer products,
12b2a2cb-c990-4cc9-a86b-ec537f0058ba,Corner Deli,;DELBERT H SENDELWECK;;;JASPER;IN;;;,keyword,7,2,11112;722512,2,11112,Agriculture,Jasper,FALSE,Corner Deli LLC,FALSE,Daniel Sendelweck,FALSE,,Resource Industries,
134a7681-4ffd-4dfb-b502-e156e8a90158,"Mcnair Farms Cvs, Inc.",";MCNAIR FARMS CVS,.;;;WOONSOCKET;RI;;;",precedence,11,2,111999;446110,2,111999,Agriculture,Woonsocket,FALSE,Mcnair Farms Cvs INC,FALSE,,,,Process: Consumer products,
1370f841-127e-4fbb-afb0-6bcb001c4ff4,Barry L Hays,;BARRY L HAYS;;;DORA;NM;;;,precedence,11,3,111940;48412;11112,2,111940,Agriculture,Dora,TRUE,Barry Lee Hays,TRUE,Barry Hays,TRUE,,Process: Consumer products,
147a90e1-04dc-4365-ac0a-cbcf01f19745,Brouwer Dairy,;BROUWER DAIRY;;;PORTALES;NM;;;,precedence,11,2,112120;11112,2,112120,Agriculture,Portales,FALSE,,,,,,Resource Industries,
1511b52a-234d-4274-ab40-85f590257479,Mike Kenefick,;MIKE KENEFICK;;;GALT;CA;;;,,11,2,11112;112519,2,112519,Agriculture,Galt,TRUE,,,,,,Resource Industries,
1637fd56-84ee-44de-b054-b71363f19a28,Starkey Ranch,;STARKEY RANCH;;;OROVILLE;CA;;;,,11,2,115114;111998,2,115114,Agriculture,Oroville,TRUE,,,,,,Professional Services,
16ebe949-1148-4ba2-a3c6-08d135e3911a,Green Gulch Farm,;GREEN GULCH FARM;;;SAUSALITO;CA;;;,precedence,11,2,111999;624221,2,111999,Agriculture,Sausalito,partial,,,,,,Process: Consumer products,
183d769c-bd5d-408c-ba2e-1611f33821f0,Superior Trawl,;SUPERIOR TRAWL;;;WAKEFIELD;RI;;;,precedence,11,2,114119;48412,2,114119,Agriculture,Wakefield,FALSE,Superior Trawl LLC,FALSE,Jonathan Knight,TRUE,,Resource Industries,
18b2869f-856d-49e1-90e4-4ec4df1a48b9,Michael Duggan,;MICHAEL DUGGAN;;;EL CAJON;CA;;;,precedence,11,2,56299;11531,2,11531,Agriculture,El Cajon,TRUE,,,,,,Professional Services,
